Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,0.155161,0.858019,-0.147271,-2.599714,-0.654675,-0.649227,-1.109766,1.398108,0.015851,1.393461,-1.254652,-1.990953,-1.38016,0.727321,-1.459989,-0.171084,-0.208792,0.022048,0.383676,-0.208088,-0.497059,0.337364,-1.27807,-0.571723,1.354863,-1.748579,-0.538154,-0.300025,311.92,0
10,0.364184,-1.178091,0.673199,-0.215776,-0.869368,0.787526,0.639278,0.493214,0.384221,0.469287,-0.27111,1.968169,-0.310354,1.840961,0.068632,0.490843,-0.211183,0.13239,-0.437838,1.046394,-1.028304,0.443445,0.418057,-0.543844,1.012768,0.410529,0.165752,-2.038643,51.95,0
20,0.14226,-0.347265,0.066546,0.64739,1.569018,0.132946,0.886036,0.608067,-1.520835,1.07549,-1.404067,-0.386234,0.845774,-1.169034,1.236949,-0.377574,0.250322,1.661584,0.899303,1.288445,-1.201404,0.208398,1.128616,-2.680935,0.272846,2.146246,0.307511,-1.386879,371.05,0
30,-0.329585,0.759504,2.275888,-0.325845,1.696276,-0.604704,-0.394489,-0.386955,-0.448405,1.060258,-0.671224,0.262302,-0.581124,-0.927797,-1.822741,0.250805,-1.202613,1.542474,1.169264,0.953258,0.334287,1.593687,0.097022,-0.31626,-0.371965,-1.135557,-0.275351,0.320814,387.46,0
40,-0.901498,-1.048924,-1.120115,-0.243233,0.077064,-0.14169,-0.331182,-0.080647,-0.410349,0.837115,-1.460851,-1.092873,-0.811879,-0.382098,0.536404,-0.110609,0.308937,-0.289295,1.48582,1.789091,-0.836954,2.304775,-0.66151,0.969573,1.290562,1.807215,-0.174342,0.298843,469.9,0
50,0.087557,0.097677,-0.076387,1.423899,0.96694,-0.264202,-0.597509,-0.158984,0.089703,0.485148,1.347536,-1.273704,-0.303953,0.240663,-1.088236,-0.035987,-0.182655,-0.053409,-0.705906,0.506677,-0.305945,0.993183,0.696982,0.989327,1.163392,-0.973067,-0.445273,0.568369,279.41,0
60,-0.030399,-0.677853,-1.962052,-0.103117,-2.039772,0.219418,-0.560142,2.995204,-0.279306,0.583964,-0.285078,-0.852679,-1.660386,0.976307,0.00272,-0.803902,0.609789,1.663249,-1.130165,-0.738691,0.204649,1.574433,0.189619,-0.460373,2.159373,0.961431,-0.986539,0.606131,52.4,0
70,0.598813,-0.439313,-1.607564,-0.57943,-0.205294,-1.246595,1.053471,-0.191928,1.878771,-1.362375,0.76503,-0.386702,0.101597,1.201221,0.276981,-0.519884,0.433296,-0.188733,0.650781,0.369482,0.177797,0.160644,-0.124109,0.122465,-0.737729,0.802845,1.323252,1.092255,389.87,0
80,2.435733,-2.29938,-1.236366,-0.966316,-0.17846,0.859057,0.147998,-0.265092,-1.079611,0.300751,-0.841782,1.168382,-0.191162,0.654497,-0.802496,0.763612,-0.184704,1.769871,-0.411702,0.03566,-0.135538,0.338587,0.755772,-0.675309,-0.499551,-0.620589,-1.790587,-1.49405,1756.69,1
90,0.985034,0.106113,0.724867,-0.153707,-0.048548,1.363437,0.242146,0.095832,-1.622414,-0.7476,0.283658,-1.196885,-0.415388,-0.622748,0.183257,-0.577321,-0.036856,-0.249209,-1.244093,0.468783,0.149064,-1.567183,-0.137015,0.171109,1.342939,0.967849,1.763915,1.669883,336.0,0
100,-1.765218,-1.811232,0.137689,-0.579395,0.740654,-0.73301,0.785844,-1.322248,0.566091,-1.183701,-0.506584,0.426803,-0.269095,-0.262829,-0.403464,-0.895587,-0.607173,0.150536,1.321262,1.796887,-2.440953,0.102977,0.935482,-0.323071,-0.186369,-0.791546,-1.021789,-0.227238,151.01,0
110,-0.762271,-0.975673,1.295201,-0.131557,1.154324,0.187172,-1.098,-0.220819,0.016877,-0.205172,-0.473976,0.129565,-0.054351,1.28166,0.235846,-0.699819,-0.85719,1.941979,0.374024,0.265036,-0.058222,1.132164,-0.098578,2.107894,-0.280893,0.912054,-0.512179,0.906949,332.68,0
120,2.411324,-2.271026,-0.151672,0.111907,0.449047,0.141977,0.697813,0.561914,1.020963,-0.951333,-0.366169,0.045228,-1.331343,-0.012086,1.090849,-0.028507,1.002664,-0.896054,-2.058841,0.288482,0.480237,-1.045105,0.979379,2.025396,-0.935022,-1.439313,1.015782,0.145914,312.15,1
130,-1.570679,-1.194276,0.399064,-0.859652,-0.027432,0.586868,-0.300811,-0.775083,1.300003,-0.40387,-0.724513,0.735312,-0.311832,-0.498384,0.319068,0.850325,0.080099,0.143874,0.478888,0.368826,-1.464716,-0.657674,0.491106,0.520279,1.624214,-0.083389,-0.074389,-1.080733,494.89,0
